Dv,MARCA,Material,Descripción,      Amount ,Unit,per,UoM,Empaque Mínimo,ABC Code,División.,Marca.
5I,Industrial,DOK-18LU-5K-SP-IRS-PC-C3C14P-DL40,Configurado Familia - DOK, $923.28 ,USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FS-2,"3/4"" KILLARK ALUM SHLW DVCE BX", $17.24 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FS-2M,"3/4"" DEAD END SHALLOW IRON", $29.32 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5I,Industrial,DOK-18LU-5K-SP-IRS-PC-C3C14P-DSDL40,Configurado Familia - DOK, $942.56 ,USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FSBC,BLANK - SNGLE GANG BOXES, $9.03 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FSC-1,"31/2"" KIL. ALUM SHLW FEED THRU", $18.47 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FSC-2,"FSC 3/4"" AL SHALL DEV BOX", $17.41 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5I,Industrial,DOK-6LU-5K-SP-IRS-PC-C3C14P-DSDL40,Configurado Familia - DOK, $870.15 ,USD,1,PZ,1 PZ,-,5I,Industrial
4B,KILLARK,FSC-3,"1"" K ALUM SHALLOW FEED THRU", $28.37 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5R,Beacon,EDR/48L-110/3K7/4/UNV/DBT,Configurado Familia - EDR, $731.40 ,USD,1,PZ,1 PZ,-,5R,Beacon
5R,Beacon,EDR/48L-110/3K7/5R/UNV/DBT,Configurado Familia - EDR, $731.40 ,USD,1,PZ,1 PZ,-,5R,Beacon
4B,KILLARK,FSCC-2,"FSCC 3/4"" AL SHALL DEV BOX", $39.54 ,USD,1,PZ,1 PZ,M,4B,KILLARK
4B,KILLARK,FSCT-1,"1/2"" K ALUM SHALLOW DEV BX TYPE FSCT", $36.59 ,USD,1,PZ,1 PZ,C,4B,KILLARK
4B,KILLARK,FSCT-2,"FSCT 3/4"" AL SHALL DEV BOXX", $32.54 ,USD,1,PZ,1 PZ,M,4B,KILLARK
3C,Premise,FSHST401025,"FIBER,1 FIBER,SPLC SHRINK TUBE,40MM,25PK", $72.31 ,USD,1,PK,1 PK,M,3C,Premise
4B,KILLARK,FSL-1,"1/2"" K ALUM SHALLOW FEED THRU TYPE FSL", $32.49 ,USD,1,PZ,1 PZ,M,4B,KILLARK
5P,Kim Lighting,EL807/3L3KUV/DB,Configurado Familia - EL807, $263.09 ,USD,1,PZ,1 PZ,-,5P,Kim Lighting
